case_id,transaction_id,date,month,account_id,account_name,bank_name,department,transaction_type,direction,amount,voucher_id,description,created_by,data_source,type_amount_90th_percentile,large_amount_flag,high_risk_type_flag,duplicate_group_count,duplicate_pattern_flag,year_end_flag,department_transaction_count,department_risk_flag,risk_score,risk_level,recommended_action,risk_flag_summary,case_owner,case_status,days_open,overdue_flag,second_review_required,investigation_priority,investigation_note,follow_up_action,investigation_priority_score
CASE00001,T000711,2025-12-20,12,A013,Year-end Settlement Account,Bank G,Infrastructure Department,year_end_settlement,inflow,699204,V000711,Simulated year end settlement for Infrastructure Department,simulated_system,bank_statement,600508.3,1,1,1,0,1,64,0,6,High,Immediate review required,large_amount; high_risk_type; year_end,Controls Reviewer,investigating,14,1,1,Critical,large amount transaction; high-risk transaction type; year-end transaction; overdue review item,Escalate to senior reviewer immediately,4
CASE00002,T000065,2025-02-11,2,A004,Off-budget Fund Account,Bank B,Finance Bureau Internal Unit,year_end_settlement,inflow,693927,V000065,Simulated year end settlement for Finance Bureau Internal Unit,simulated_system,bank_statement,600508.3,1,1,1,0,0,77,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Finance Operations Reviewer,open,12,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
CASE00003,T000775,2025-12-21,12,A012,Audit Adjustment Account,Bank F,Education Department,inter_fund_transfer,inflow,565588,V000775,Simulated inter fund transfer for Education Department,simulated_system,bank_statement,509918.00000000006,1,1,1,0,1,56,0,6,High,Immediate review required,large_amount; high_risk_type; year_end,Risk Analyst A,investigating,9,1,1,Critical,large amount transaction; high-risk transaction type; year-end transaction; overdue review item,Escalate to senior reviewer immediately,4
CASE00004,T000729,2025-12-13,12,A010,Temporary Holding Account,Bank E,Social Security Department,inter_fund_transfer,inflow,562613,V000729,Simulated inter fund transfer for Social Security Department,simulated_system,bank_statement,509918.00000000006,1,1,1,0,1,66,0,6,High,Immediate review required,large_amount; high_risk_type; year_end,Controls Reviewer,investigating,18,1,1,Critical,large amount transaction; high-risk transaction type; year-end transaction; overdue review item,Escalate to senior reviewer immediately,4
CASE00005,T000755,2025-12-18,12,A011,Inter-fund Transfer Account,Bank F,Environmental Protection Department,off_budget_fund_transfer,inflow,499234,V000755,Simulated off budget fund transfer for Environmental Protection Department,simulated_system,bank_statement,446537.6000000001,1,1,1,0,1,70,0,6,High,Immediate review required,large_amount; high_risk_type; year_end,Risk Analyst A,open,29,1,1,Critical,large amount transaction; high-risk transaction type; year-end transaction; overdue review item,Escalate to senior reviewer immediately,4
CASE00006,T000225,2025-04-04,4,A011,Inter-fund Transfer Account,Bank F,Culture and Tourism Department,off_budget_fund_transfer,outflow,451614,V000225,Simulated off budget fund transfer for Culture and Tourism Department,simulated_system,bank_statement,446537.6000000001,1,1,1,0,0,81,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Controls Reviewer,investigating,12,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
CASE00007,T000392,2025-07-21,7,A010,Temporary Holding Account,Bank E,Culture and Tourism Department,temporary_holding,inflow,234440,V000392,Simulated temporary holding for Culture and Tourism Department,simulated_system,bank_statement,219627.5,1,1,1,0,0,81,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Risk Analyst A,investigating,12,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
CASE00008,T000236,2025-05-26,5,A010,Temporary Holding Account,Bank E,Culture and Tourism Department,audit_adjustment,outflow,109944,V000236,Simulated audit adjustment for Culture and Tourism Department,simulated_system,bank_statement,100457.6,1,1,1,0,0,81,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Finance Operations Reviewer,open,20,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
CASE00009,T000583,2025-09-18,9,A013,Year-end Settlement Account,Bank G,Transport Department,audit_adjustment,outflow,103911,V000583,Simulated audit adjustment for Transport Department,simulated_system,bank_statement,100457.6,1,1,1,0,0,74,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Risk Analyst A,investigating,29,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
CASE00010,T000563,2025-09-26,9,A002,Budget Execution Payment Account,Bank A,Finance Bureau Internal Unit,audit_adjustment,inflow,103802,V000563,Simulated audit adjustment for Finance Bureau Internal Unit,simulated_system,bank_statement,100457.6,1,1,1,0,0,77,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department,Finance Operations Reviewer,escalated,17,1,1,Critical,large amount transaction; high-risk transaction type; high-activity department; overdue review item,Escalate to senior reviewer immediately,4
