department,total_transactions,total_amount,average_amount,average_risk_score,high_risk_transactions,medium_risk_transactions,large_amount_flags,high_risk_type_flags,duplicate_pattern_flags,year_end_flags,investigation_cases,critical_cases,high_priority_cases,overdue_cases,second_review_required_cases,average_days_open,case_rate
Culture and Tourism Department,81,17387947,214666.01234567902,2.4444444444444446,4,39,12,35,0,11,43,3,9,11,12,8.767441860465116,0.5308641975308642
Finance Bureau Internal Unit,77,14971830,194439.35064935064,1.87012987012987,2,22,5,21,0,10,24,2,7,9,9,10.125,0.3116883116883117
Transport Department,74,16530611,223386.63513513515,2.027027027027027,1,29,4,27,0,10,30,1,8,9,9,9.866666666666667,0.40540540540540543
Environmental Protection Department,70,13337977,190542.5285714286,1.0714285714285714,1,11,11,16,0,10,23,1,3,4,4,7.478260869565218,0.32857142857142857
Infrastructure Department,64,12051384,188302.875,1.0625,1,9,5,20,0,13,23,1,1,2,2,6.565217391304348,0.359375
Social Security Department,66,15562711,235798.65151515152,1.1818181818181819,1,8,8,23,0,8,29,1,0,1,1,5.517241379310345,0.4393939393939394
Education Department,56,11449954,204463.4642857143,1.0535714285714286,1,6,7,16,0,6,21,1,0,1,1,6.809523809523809,0.375
Community Services Department,57,11855980,207999.64912280702,1.087719298245614,0,7,5,19,0,9,22,0,3,3,3,7.318181818181818,0.38596491228070173
Health Department,63,12021542,190818.12698412698,1.2857142857142858,0,14,11,21,0,6,28,0,2,2,2,5.642857142857143,0.4444444444444444
Emergency Management Department,70,14166304,202375.77142857143,1.2571428571428571,0,15,12,23,0,6,31,0,2,2,2,6.064516129032258,0.44285714285714284
Agriculture Department,70,13098315,187118.7857142857,0.9714285714285714,0,10,4,23,0,10,26,0,1,1,1,5.961538461538462,0.37142857142857144
Urban Management Department,64,9659819,150934.671875,0.984375,0,5,1,25,0,10,25,0,0,0,0,5.16,0.390625
