transaction_id,date,month,account_id,account_name,bank_name,department,transaction_type,direction,amount,voucher_id,description,created_by,data_source,type_amount_90th_percentile,large_amount_flag,high_risk_type_flag,duplicate_group_count,duplicate_pattern_flag,year_end_flag,department_transaction_count,department_risk_flag,risk_score,risk_level,recommended_action,risk_flag_summary
T000014,2025-01-01,1,A003,Non-tax Revenue Collection Account,Bank B,Finance Bureau Internal Unit,temporary_holding,inflow,32671,V000014,Simulated temporary holding for Finance Bureau Internal Unit,simulated_system,bank_statement,219627.5,0,1,1,0,0,77,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000022,2025-01-01,1,A002,Budget Execution Payment Account,Bank A,Infrastructure Department,non_tax_revenue_collection,inflow,11102,V000022,Simulated non tax revenue collection for Infrastructure Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000043,2025-01-01,1,A012,Audit Adjustment Account,Bank F,Urban Management Department,refund,inflow,54638,V000043,Simulated refund for Urban Management Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000032,2025-01-02,1,A006,Social Security Transfer Account,Bank C,Infrastructure Department,budget_execution_payment,outflow,285517,V000032,Simulated budget execution payment for Infrastructure Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000047,2025-01-02,1,A004,Off-budget Fund Account,Bank B,Finance Bureau Internal Unit,project_fund_payment,outflow,201456,V000047,Simulated project fund payment for Finance Bureau Internal Unit,simulated_system,bank_statement,748920.0,0,0,1,0,0,77,1,1,Low,Routine monitoring,high_activity_department
T000006,2025-01-03,1,A002,Budget Execution Payment Account,Bank A,Infrastructure Department,budget_execution_payment,outflow,184231,V000006,Simulated budget execution payment for Infrastructure Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000021,2025-01-03,1,A008,Health Project Fund Account,Bank D,Transport Department,budget_execution_payment,outflow,325669,V000021,Simulated budget execution payment for Transport Department,simulated_system,bank_statement,316246.60000000003,1,0,1,0,0,74,1,4,Medium,Review transaction amount and supporting documents,large_amount; high_activity_department
T000034,2025-01-03,1,A007,Education Fund Account,Bank D,Social Security Department,project_fund_payment,outflow,164352,V000034,Simulated project fund payment for Social Security Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,66,0,0,Low,Routine monitoring,no_major_flag
T000029,2025-01-05,1,A011,Inter-fund Transfer Account,Bank F,Education Department,non_tax_revenue_collection,inflow,14435,V000029,Simulated non tax revenue collection for Education Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000048,2025-01-05,1,A008,Health Project Fund Account,Bank D,Emergency Management Department,project_fund_payment,outflow,250244,V000048,Simulated project fund payment for Emergency Management Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
